"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Memory","Network.Performance","Cache.Engine","Storage.Media","Group","Group.Description","usageType","operation","Region","Endpoint","Protocol"
"1239","US West (N. California)","8KWKDMJ27CVDJ94Z","YTVHEVGPBZ","8KWKDMJ27CVDJ94Z.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.c1.xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.297,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.c1.xlarge","No","Compute optimized",8,"6.6 GiB","High","Redis","","","","USW1-NodeUsage:cache.c1.xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1240","US West (N. California)","V4PPEJJ2929FEHPN","YTVHEVGPBZ","V4PPEJJ2929FEHPN.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m1.medium instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.05,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.medium","No","Standard",1,"3.35 GiB","Moderate","Memcached","","","","USW1-NodeUsage:cache.m1.medium","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1241","US West (N. California)","34F4MKVMBQ8R5AKW","YTVHEVGPBZ","34F4MKVMBQ8R5AKW.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",NA,NA,"Quantity",1698,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.2xlarge","Yes","Standard",8,"29.7 GiB","High","Redis","","","","USW1-NodeUsage:cache.m4.2xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1242","US West (N. California)","52F5J3KSUKGUZ2DA","JRBFQ5DASS","52F5J3KSUKGUZ2DA.JRBFQ5DASS.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",NA,NA,"Quantity",1332,"USD","","1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.c1.xlarge","No","Compute optimized",8,"6.6 GiB","High","Memcached","","","","USW1-NodeUsage:cache.c1.xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1243","US West (N. California)","5NCM39PNPGSBXTR6","YTVHEVGPBZ","5NCM39PNPGSBXTR6.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.t2.small instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.015,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t2.small","Yes","Standard",1,"1.55 GiB","Low to Moderate","Redis","","","","USW1-NodeUsage:cache.t2.small","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1244","US West (N. California)","V4PPEJJ2929FEHPN","DK9W8XRWES","V4PPEJJ2929FEHPN.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.083 per ElastiCache, cache.m1.medium instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.083,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.medium","No","Standard",1,"3.35 GiB","Moderate","Memcached","","","","USW1-NodeUsage:cache.m1.medium","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1245","US West (N. California)","Q84PZQWZ3GFZKWQE","DK9W8XRWES","Q84PZQWZ3GFZKWQE.DK9W8XRWES.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",NA,NA,"Quantity",653,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.4xlarge","No","Memory optimized",8,"68 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1246","US West (N. California)","JBZZHP2P8AQKX85B","YTVHEVGPBZ","JBZZHP2P8AQKX85B.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m3.2xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.353,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m3.2xlarge","Yes","Standard",8,"27.9 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1247","US West (N. California)","Q84PZQWZ3GFZKWQE","YTVHEVGPBZ","Q84PZQWZ3GFZKWQE.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m2.4xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.382,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.4xlarge","No","Memory optimized",8,"68 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1248","US West (N. California)","FDK8HW22X4VEMWSD","DK9W8XRWES","FDK8HW22X4VEMWSD.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.041 per ElastiCache, cache.m1.small instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.041,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.small","No","Standard",1,"1.3 GiB","Low","Memcached","","","","USW1-NodeUsage:cache.m1.small","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
