"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Group","Group Description","usageType","operation"
"6NHWJY2AUF2C7WTQ","YTVHEVGPBZ","6NHWJY2AUF2C7WTQ.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","102","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.t2.small","Yes","Standard","1","1.55 GiB","Low to Moderate","Redis",,,,"USW2-NodeUsage:cache.t2.small","CreateCacheCluster:0002"
"KT2VNGC3RTRSB48J","YTVHEVGPBZ","KT2VNGC3RTRSB48J.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","545","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Memcached",,,,"SAE1-NodeUsage:cache.m3.large","CreateCacheCluster:0001"
"B8JGE2KXJFZ7TVFH","VG8YD49WWM","B8JGE2KXJFZ7TVFH.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","23026","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Frankfurt)","AWS Region","cache.r3.8xlarge","Yes","Memory optimized","32","237 GiB","10 Gigabit","Memcached",,,,"EUC1-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0001"
"M5J8P6P94DWWFTRW","VG8YD49WWM","M5J8P6P94DWWFTRW.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.m2.4xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.2780000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Memcached",,,,"SAE1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0001"
"G9K65BBCHZQJTJNM","VG8YD49WWM","G9K65BBCHZQJTJNM.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m3.medium instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0290000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m3.medium","Yes","Standard","1","2.78 GiB","Moderate","Redis",,,,"SAE1-NodeUsage:cache.m3.medium","CreateCacheCluster:0002"
"HW28R9VYXFAZG73E","VG8YD49WWM","HW28R9VYXFAZG73E.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","1482","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.r3.large","Yes","Memory optimized","2","13.5 GiB","Moderate","Redis",,,,"APS2-NodeUsage:cache.r3.large","CreateCacheCluster:0002"
"7CAFRTAUKH9JS7ZE","VG8YD49WWM","7CAFRTAUKH9JS7ZE.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.m3.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1330000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Ireland)","AWS Region","cache.m3.xlarge","Yes","Standard","4","13.3 GiB","High","Memcached",,,,"EU-NodeUsage:cache.m3.xlarge","CreateCacheCluster:0001"
"HCVDRGSAJK87A8VV","YTVHEVGPBZ","HCVDRGSAJK87A8VV.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","15978","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.r3.8xlarge","Yes","Memory optimized","32","237 GiB","10 Gigabit","Memcached",,,,"SAE1-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0001"
"PVQG6KRTS45ZNVJ7","VHSX6N8RTZ","PVQG6KRTS45ZNVJ7.VHSX6N8RTZ.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","478","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Redis",,,,"USW1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002"
"KUF53BYETFFDSH4J","JRTCKXETXF","KUF53BYETFFDSH4J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.218 per Enhanced Large Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.2180000000","USD",,,,,"Cache Instance","AmazonElastiCache","AWS GovCloud (US)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Memcached",,,,"UGW1-NodeUsage:cache.m3.large","CreateCacheCluster:0001"
